Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,4435477
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,4435488
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,4474277
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,4474279
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1006
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,111933
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,115168
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,119654
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,127052
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,185056
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,236394
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,240348
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,240450
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,240573
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,243880
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,244423
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,246140
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,250424
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,250484
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,255722
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,257598
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,278856
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,280463
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,283606
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,284878
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,326141
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,336346
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,341277
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,346816
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,533251
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,556195
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,633506
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,651305
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,660974
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,664787
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,665068
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,667665
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,677090
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,703438
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,716145
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,726991
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,741760
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,745134
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,759347
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,769571
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,780150
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,800765
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4412617
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,830
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1010
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1019
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,16284
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,104332
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,137903
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,137975
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,201237
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,202265
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,202783
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,203260
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,282184
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,285739
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,287074
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,298914
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,310891
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,316290
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,327308
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,332597
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,345715
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,348720
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,411190
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,518765
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,560993
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,564250
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,568129
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,605057
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,667734
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,677841
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,735527
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,748379
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,786663
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,814666
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,831257
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1110360
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1132799
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1134670
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1134866
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1145219
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1608751
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1830637
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1830644
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1928988
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,2345664
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,2592645
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,2605832
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,2804911
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,2963554
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,3240665
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,3347350
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,3470775
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,3489142
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,3722740
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,3963081
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4225757
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4359077
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4381632
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4389840
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4389841
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4391138
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4394082
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4412619
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4418110
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4422597
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4429808
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4437935
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4452521
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4453567
k__Archaea;,p__Crenarchaeota;,c__MBGB;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4460036
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,125340
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,241830
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,254054
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,322321
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,371847
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,428318
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,444679
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,447740
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,447843
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,462844
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,561428
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,575513
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,590520
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,614438
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,643483
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,763385
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,1125367
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,1790753
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,1961473
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,3489144
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,4271528
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,4379844
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__B10;,f__Unclassified;,g__Unclassified;,4426941
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,829
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,1171
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,56717
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,109236
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,139237
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,142882
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,142927
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,143073
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,144063
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,144537
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,144717
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,153278
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,156311
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,251062
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,277820
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,282132
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,336090
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,337415
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,370449
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,406857
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,423724
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,440085
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,457903
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,463052
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,463639
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,464037
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,512868
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,515962
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,518927
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,519027
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,522191
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,525569
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,526250
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,529235
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,529521
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,535254
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,557485
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,575464
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,637390
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,658008
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,676542
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,681753
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,739278
k__Archaea;,p__Crenarchaeota;,c__MCG;,o__pGrfC26;,f__Unclassified;,g__Unclassified;,776995
